FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed,censored
101,297,381,19.50586727243801,31.935531617636126,0.1021617321656496,0.5563424626245352,21,0,115,0,115,-3.5874486761762893e-06,0.0549738219895288,0.0510624797707801,0.0836008681089951,0,0,35,115,60,1.0,random,1,False
62,124,707,48.30736575652577,86.3939896168722,0.1106918014480095,0.623301841694408,192,0,366,0,366,-1.31823323790985e-06,0.2711864406779661,0.0682307425939629,0.1220254090633788,0,0,221,366,60,1.0,random,2,False
88,170,1175,102.67349637377004,200.1200576604848,0.1020525386684977,0.4647331249878162,14,0,1039,0,1039,-9.816493626574051e-07,0.0119047619047619,0.0873073948756548,0.1701701170582353,0,0,24,95,60,1.0,random,3,False
85,197,486,25.64476330775944,41.13450808028651,0.1116357483004069,0.5375505417776317,10,0,162,0,162,-5.946583809897853e-06,0.0205338809034907,0.0526586515559742,0.0844651089944281,0,0,35,162,60,1.0,random,4,False
113,161,307,16.883992876153776,28.160842357634767,0.0935108573641575,0.5612583570947635,15,0,165,0,165,1.5510545675111594e-07,0.0487012987012987,0.0548181586888109,0.091431306355957,0,0,60,165,60,1.0,random,5,False
111,111,263,14.545180489509542,23.894807028806262,0.1045934121822276,0.5804697808652807,31,0,141,0,141,-5.832715023756573e-06,0.1174242424242424,0.0550953806420816,0.0905106326848722,0,0,50,141,60,1.0,random,6,False
67,98,485,26.23306072023721,38.938870087459485,0.0957366600466784,0.4920479899673567,18,0,142,0,142,2.723327038944238e-07,0.037037037037037,0.0539774911939037,0.0801211318672005,0,0,41,142,60,1.0,random,7,False
141,211,413,21.226625705972463,36.14534068644312,0.0901191264251948,0.6007329656137554,95,0,213,0,213,2.19069050484293e-06,0.2294685990338164,0.0512720427680494,0.0873075861991379,0,0,127,213,60,1.0,random,8,False
129,214,342,16.171599108074723,28.157004619190115,0.1003143478567591,0.5655629794314744,20,0,144,0,144,-4.973035353398224e-06,0.0583090379008746,0.0471475192655239,0.0820903924757729,0,0,36,144,60,1.0,random,9,False
71,141,436,26.46223415356139,42.60476678110064,0.1061177277465036,0.5291231730247637,40,0,198,0,198,3.006347583255482e-07,0.091533180778032,0.0605543115642137,0.0974937454945094,0,0,77,198,60,1.0,random,10,False
82,82,668,46.13707162826676,80.04291654735593,0.109371385805929,0.5677703023011728,84,0,347,0,347,1.187300825644474e-06,0.1255605381165919,0.0689642326282014,0.119645615167946,0,0,223,347,60,1.0,random,11,False
110,181,1328,127.843535757237,247.4639045501052,0.1161358488662402,0.4909247355133772,9,0,1145,0,1145,-2.3664596207489818e-07,0.0067720090293453,0.0961952864990496,0.1862030884500415,0,0,27,108,60,1.0,random,12,False
153,268,867,77.19547026753798,198.71215910809275,0.1211222307285913,0.7605201345502548,500,0,641,0,641,-1.4320322298981509e-06,0.576036866359447,0.0889348735801128,0.2289310588802912,0,0,529,641,60,1.0,random,13,False
138,185,663,48.16873480363917,87.8198715712389,0.0990353694890275,0.5053840265333724,13,0,457,0,457,-6.32179941509631e-07,0.019578313253012,0.0725432753066855,0.1322588427277694,0,0,39,104,60,1.0,random,14,False
87,95,2048,186.7039790043115,340.29330301609906,0.1308810627963343,0.6471197523663416,1214,0,1934,0,1934,5.032109569377601e-08,0.5924841386041971,0.0911195602754082,0.1660777467135671,0,0,1522,1533,60,1.0,greedy,0,False
98,189,2136,220.7195858148728,500.4526179381559,0.1574360123642233,0.614075927903401,875,0,2122,0,2122,3.4149096568517544e-08,0.4094525035095929,0.1032847851262858,0.2341846597745231,0,0,2112,2122,60,1.0,greedy,1,False
92,383,3000,357.40475501753326,930.8330863835324,0.1604183871081508,0.6569666984360436,1717,0,2984,0,2984,1.563556193878918e-09,0.5723333333333334,0.1191349183391777,0.3102776954611774,0,0,2045,2053,60,1.0,greedy,2,True
129,345,2203,237.19445665330025,655.5272587365699,0.1551297380648239,0.6442644324558783,1145,0,2039,0,2039,-1.5553038661575483e-08,0.5195099818511797,0.1076199894071235,0.2974261609512568,0,0,1759,1773,60,1.0,greedy,3,False
